Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Age group (product.metafields.shopify.age-group),Canopy material (product.metafields.shopify.canopy-material),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Material (product.metafields.shopify.material),Neckline (product.metafields.shopify.neckline),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
plumeria-long-sleeve-ladies,Plumeria Long Sleeve - Ladies,"<div>
<ul>
<li>
<em style=""font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 0.875rem;""><strong>CLOSE OUT SALE - Original Price $35</strong></em><meta charset=""utf-8"">
</li>
</ul>
</div>
<ul>
<li>Material: Dri-fit</li>
<li>Sizes: Adult X-Small - 2XL</li>
<li><em><strong>MATCHING HAT! </strong></em></li>
</ul>",Hafaloha,Apparel & Accessories > Clothing > Clothing Tops,Long Sleeve,"Adult, Aloha, closeout-sale, Hafa Adai, hafaloha, Ladies, Plumeria",true,Size,XS,,,,,,,,01-TPLS-PLMRA-WM-BLU-XS,226.796185,shopify,deny,manual,5.00,0.00,true,false,,,,,'100000068656,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha-Shirts-August-2023_0056_P1122792.png?v=1693959439,1,"",false,,,,,,,,,,,,,,adults,,,,,,,xs; s; m; l; xl; 2xl,long,female,,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha-Shirts-August-2023_0056_P1122792.png?v=1693959439,oz,,14.50,active
plumeria-long-sleeve-ladies,,,,,,,,,S,,,,,,,,01-TPLS-PLMRA-WM-BLU-S,226.796185,shopify,deny,manual,5.00,0.00,true,false,,,,,'100000068663,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha-Shirts-August-2023_0055_P1122794.png?v=1693959439,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha-Shirts-August-2023_0056_P1122792.png?v=1693959439,oz,,14.50,
plumeria-long-sleeve-ladies,,,,,,,,,M,,,,,,,,01-TPLS-PLMRA-WM-BLU-M,226.796185,shopify,deny,manual,5.00,0.00,true,false,,,,,'100000068670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha-Shirts-August-2023_0056_P1122792.png?v=1693959439,oz,,14.50,
plumeria-long-sleeve-ladies,,,,,,,,,L,,,,,,,,01-TPLS-PLMRA-WM-BLU-L,226.796185,shopify,deny,manual,5.00,0.00,true,false,,,,,'100000068687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha-Shirts-August-2023_0056_P1122792.png?v=1693959439,oz,,14.50,
plumeria-long-sleeve-ladies,,,,,,,,,XL,,,,,,,,01-TPLS-PLMRA-WM-BLU-XL,255.145708125,shopify,deny,manual,5.00,0.00,true,false,,,,,'100000068694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha-Shirts-August-2023_0056_P1122792.png?v=1693959439,oz,,14.50,
plumeria-long-sleeve-ladies,,,,,,,,,2XL,,,,,,,,01-TPLS-PLMRA-WM-BLU-2XL,283.49523125,shopify,deny,manual,5.00,0.00,true,false,,,,,'100000068700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha-Shirts-August-2023_0056_P1122792.png?v=1693959439,oz,,14.50,
greetings-t-shirt-youth-girls,Greetings T-Shirt - Youth Girls,"<div>
<ul>
<li style=""font-weight: bold; font-style: italic;""><em><strong>CLOSE OUT SALE - Original Price $30</strong></em></li>
</ul>
</div>
<ul>
<li>Material: Coolpass Dri-fit</li>
<li>Sizes: Youth X-Small - Youth Large</li>
<li>Colors: Pastel Green &amp; Pastel Purple</li>
<li><strong>MATCHING HAT! </strong></li>
</ul>",Hafaloha,Apparel & Accessories > Clothing > Clothing Tops,T-Shirt,"Aloha, closeout-sale, Girls, hafaloha, Youth",true,Size,YXS,,Color,Pastel Green,,,,,01-TPTS-GRTNGS-YG-GRN-YXS,198.446661875,shopify,deny,manual,5.00,0.00,true,false,,,,,'100000073452,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha-Shirts-August-2023_0028_P1122836_ef5985a3-8366-4693-a125-847ebc3ab37d.png?v=1693455146,1,"",false,,,,,,,,,,,,,,kids,,,,,,,yxs; ys; ym; yl,short,female,,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha-Shirts-August-2023_0028_P1122836_ef5985a3-8366-4693-a125-847ebc3ab37d.png?v=1693455146,oz,,6.50,active
greetings-t-shirt-youth-girls,,,,,,,,,YXS,,,Pastel Purple,,,,,01-TPTS-GRTNGS-YG-PUR-YXS,198.446661875,shopify,deny,manual,5.00,0.00,true,false,,,,,'100000073490,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha-Shirts-August-2023_0048_P1122806_aac98ae5-5297-4e50-a4c4-5d1358288cfe.png?v=1693455168,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha-Shirts-August-2023_0048_P1122806_aac98ae5-5297-4e50-a4c4-5d1358288cfe.png?v=1693455168,oz,,6.50,
greetings-t-shirt-youth-girls,,,,,,,,,YS,,,Pastel Green,,,,,01-TPTS-GRTNGS-YG-GRN-YS,198.446661875,shopify,deny,manual,5.00,0.00,true,false,,,,,'100000073469,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha-Shirts-August-2023_0047_P1122807_edd0249b-f72e-4483-9816-684e85b64c7c.png?v=1693455168,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha-Shirts-August-2023_0028_P1122836_ef5985a3-8366-4693-a125-847ebc3ab37d.png?v=1693455146,oz,,6.50,
greetings-t-shirt-youth-girls,,,,,,,,,YS,,,Pastel Purple,,,,,01-TPTS-GRTNGS-YG-PUR-YS,198.446661875,shopify,deny,manual,5.00,0.00,true,false,,,,,'100000073506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0559/9889/files/Hafaloha-Shirts-August-2023_0048_P1122806_aac98ae5-5297-4e50-a4c4-5d1358288cfe.png?v=1693455168,oz,,6.50,
